Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage origin Port,Leg Start Port/anch,In Transit Port Calls,FIELD9,Timestamp
GANDAWATI 1,DEPARTURE,Port,SEMARANG,1640180460,,,Not in Transit,Tanker,22/12/2021 20.41
TRADER,ARRIVAL,Port,SEMARANG,1640179740,SINGAPORE,SINGAPORE,Not in Transit,Cargo,22/12/2021 20.29
LAWIT,DEPARTURE,Port,SEMARANG,1640162760,,,Not in Transit,Passenger,22/12/2021 15.46
GAS PATRICIA,DEPARTURE,Port,SEMARANG,1640155800,,,Not in Transit,Tanker,22/12/2021 13.50
DHARMA FERRY 2,DEPARTURE,Port,SEMARANG,1640154180,,,Not in Transit,Passenger,22/12/2021 13.23
MERATUS MALINO,DEPARTURE,Port,SEMARANG,1640144040,,,Not in Transit,Cargo,22/12/2021 10.34
GANDAWATI 1,ARRIVAL,Port,SEMARANG,1640142600,SURABAYA,SEMARANG ANCH,Not in Transit,Tanker,22/12/2021 10.10
BIMA 306,ARRIVAL,Port,SEMARANG,1640142540,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Tug,22/12/2021 10.09
COSMIC 15,DEPARTURE,Port,SEMARANG,1640142480,,,Not in Transit,Tanker,22/12/2021 10.08
TB.MOA,ARRIVAL,Port,SEMARANG,1640142420,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Tug,22/12/2021 10.07
TB.MOA,DEPARTURE,Port,SEMARANG,1640139120,,,Not in Transit,Tug,22/12/2021 09.12
BIMA 306,DEPARTURE,Port,SEMARANG,1640138940,,,Not in Transit,Tug,22/12/2021 09.09
EVER BOARD,ARRIVAL,Port,SEMARANG,1640125860,JAKARTA,JAKARTA,Not in Transit,Cargo,22/12/2021 05.31
LAWIT,ARRIVAL,Port,SEMARANG,1640115780,PONTIANAK,PONTIANAK,Not in Transit,Passenger,22/12/2021 02.43
PUSRI INDONESIA I,ARRIVAL,Port,SEMARANG,1640099280,PALEMBANG,PALEMBANG,Not in Transit,Cargo,21/12/2021 22.08
ERICA 9,ARRIVAL,Port,SEMARANG,1640091360,LAMONGAN,SEMARANG ANCH,Not in Transit,Tanker,21/12/2021 19.56
INTAN DAYA 272,ARRIVAL,Port,SEMARANG,1640088360,PALEMBANG,SEMARANG ANCH,Not in Transit,Cargo,21/12/2021 19.06
DHARMA FERRY 2,ARRIVAL,Port,SEMARANG,1640081880,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Passenger,21/12/2021 17.18
MERATUS MALINO,ARRIVAL,Port,SEMARANG,1640081400,MAKASSAR,MAKASSAR,Not in Transit,Cargo,21/12/2021 17.10
BRAHMA 3,ARRIVAL,Port,SEMARANG,1640065980,BANJARMASIN,BANJARMASIN,Not in Transit,Tug,21/12/2021 12.53
SITC SEMARANG,DEPARTURE,Port,SEMARANG,1640047080,,,Not in Transit,Cargo,21/12/2021 07.38
DHARMA RUCITRA 9,DEPARTURE,Port,SEMARANG,1640037480,,,Not in Transit,Cargo,21/12/2021 04.58
GAS PATRICIA,ARRIVAL,Port,SEMARANG,1640014320,MERAK,SEMARANG ANCH,Not in Transit,Tanker,20/12/2021 22.32
GAS PATRA,DEPARTURE,Port,SEMARANG,1640009580,,,Not in Transit,Tanker,20/12/2021 21.13
WAHYU PANDAN ARAN,DEPARTURE,Port,SEMARANG,1640004240,,,Not in Transit,Special Craft,20/12/2021 19.44
SPIRIT OF MUMBAI,DEPARTURE,Port,SEMARANG,1639994820,,,Not in Transit,Cargo,20/12/2021 17.07
WAHYU PANDAN ARAN,ARRIVAL,Port,SEMARANG,1639991160,,,Not in Transit,Special Craft,20/12/2021 16.06
KLM.SEJARAH SETIA,DEPARTURE,Port,SEMARANG,1639984620,,,In Transit,Cargo,20/12/2021 14.17
SITC SEMARANG,ARRIVAL,Port,SEMARANG,1639981560,JAKARTA,SEMARANG ANCH,Not in Transit,Cargo,20/12/2021 13.26
EVER BRACE,DEPARTURE,Port,SEMARANG,1639976940,,,Not in Transit,Cargo,20/12/2021 12.09
KN SAR SADEWA,ARRIVAL,Port,SEMARANG,1639972200,SEMARANG,SEMARANG,Not in Transit,Unspecified,20/12/2021 10.50
DHARMA RUCITRA 9,ARRIVAL,Port,SEMARANG,1639968780,KUMAI,KUMAI,Not in Transit,Cargo,20/12/2021 09.53
KN SAR SADEWA,DEPARTURE,Port,SEMARANG,1639966920,,,Not in Transit,Unspecified,20/12/2021 09.22
TB.VIRGO SEJATI 28,ARRIVAL,Port,SEMARANG,1639928400,JAKARTA,JAKARTA,Not in Transit,Tug,19/12/2021 22.40
DHARMA KARTIKA VII,DEPARTURE,Port,SEMARANG,1639928400,,,Not in Transit,Cargo,19/12/2021 22.40
SINAR LABUAN,ARRIVAL,Port,SEMARANG,1639921200,BONTANG,BONTANG,Not in Transit,Tanker,19/12/2021 20.40
KELIMUTU,ARRIVAL,Port,SEMARANG,1639919040,SEMARANG,SEMARANG,Not in Transit,Passenger,19/12/2021 20.04
KAWA MAS,DEPARTURE,Port,SEMARANG,1639907340,,,Not in Transit,Cargo,19/12/2021 16.49
DHARMA KARTIKA VII,ARRIVAL,Port,SEMARANG,1639899240,PONTIANAK,PONTIANAK ANCH,Not in Transit,Cargo,19/12/2021 14.34
